Date,Close,Dividends,High,Low,Open,Stock Splits,Ticker,Volume
2013-07-18,1689.37,0,1693.12,1681.05,1681.05,0,^GSPC,3452370000
2013-07-19,1692.09,0,1692.09,1684.08,1686.15,0,^GSPC,3302580000
2013-07-22,1695.53,0,1697.61,1690.67,1694.41,0,^GSPC,2779130000
2013-07-23,1692.39,0,1698.78,1691.13,1696.63,0,^GSPC,3096180000
2013-07-24,1685.94,0,1698.38,1682.57,1696.06,0,^GSPC,3336120000
2013-07-25,1690.25,0,1690.94,1680.07,1685.21,0,^GSPC,3322500000
2013-07-26,1691.65,0,1691.85,1676.03,1687.31,0,^GSPC,2762770000
2013-07-29,1685.33,0,1690.92,1681.86,1690.32,0,^GSPC,2840520000
2013-07-30,1685.96,0,1693.19,1682.42,1687.92,0,^GSPC,3320530000
2013-07-31,1685.73,0,1698.43,1684.94,1687.76,0,^GSPC,3847390000
2013-08-01,1706.87,0,1707.85,1689.42,1689.42,0,^GSPC,3775170000
2013-08-02,1709.67,0,1709.67,1700.68,1706.1,0,^GSPC,3136630000
2013-08-05,1707.14,0,1709.24,1703.55,1708.01,0,^GSPC,2529300000
2013-08-06,1697.37,0,1705.79,1693.29,1705.79,0,^GSPC,3141210000
2013-08-07,1690.91,0,1695.3,1684.91,1695.3,0,^GSPC,3010230000
2013-08-08,1697.48,0,1700.18,1688.38,1693.35,0,^GSPC,3271660000
2013-08-09,1691.42,0,1699.42,1686.02,1696.1,0,^GSPC,2957670000
2013-08-12,1689.47,0,1691.49,1683.35,1688.37,0,^GSPC,2789160000
2013-08-13,1694.16,0,1696.81,1682.62,1690.65,0,^GSPC,3035560000
2013-08-14,1685.39,0,1695.52,1684.83,1693.88,0,^GSPC,2871430000
2013-08-15,1661.32,0,1679.61,1658.59,1679.61,0,^GSPC,3426690000
2013-08-16,1655.83,0,1663.6,1652.61,1661.22,0,^GSPC,3211450000
2013-08-19,1646.06,0,1659.18,1645.84,1655.25,0,^GSPC,2904530000
2013-08-20,1652.35,0,1658.92,1646.08,1646.81,0,^GSPC,2994090000
2013-08-21,1642.8,0,1656.99,1639.43,1650.66,0,^GSPC,2932180000
2013-08-22,1656.96,0,1659.55,1645.03,1645.03,0,^GSPC,2537460000
2013-08-23,1663.5,0,1664.85,1654.81,1659.92,0,^GSPC,2582670000
2013-08-26,1656.78,0,1669.51,1656.02,1664.29,0,^GSPC,2430670000
2013-08-27,1630.48,0,1652.54,1629.05,1652.54,0,^GSPC,3219190000
2013-08-28,1634.96,0,1641.18,1627.47,1630.25,0,^GSPC,2784010000
2013-08-29,1638.17,0,1646.41,1630.88,1633.5,0,^GSPC,2527550000
2013-08-30,1632.97,0,1640.08,1628.05,1638.89,0,^GSPC,2734300000
2013-09-03,1639.77,0,1651.35,1633.41,1635.95,0,^GSPC,3731610000
2013-09-04,1653.08,0,1655.72,1637.41,1640.72,0,^GSPC,3312150000
2013-09-05,1655.08,0,1659.17,1653.07,1653.28,0,^GSPC,2957110000
2013-09-06,1655.17,0,1664.83,1640.62,1657.44,0,^GSPC,3123880000
2013-09-09,1671.71,0,1672.4,1656.85,1656.85,0,^GSPC,3102780000
2013-09-10,1683.99,0,1684.09,1675.11,1675.11,0,^GSPC,3691800000
2013-09-11,1689.13,0,1689.13,1678.7,1681.04,0,^GSPC,3135460000
2013-09-12,1683.42,0,1689.97,1681.96,1689.21,0,^GSPC,3106290000
2013-09-13,1687.99,0,1688.73,1682.22,1685.04,0,^GSPC,2736500000
2013-09-16,1697.6,0,1704.95,1691.7,1691.7,0,^GSPC,3079800000
2013-09-17,1704.76,0,1705.52,1697.73,1697.73,0,^GSPC,2774240000
2013-09-18,1725.52,0,1729.44,1700.35,1705.74,0,^GSPC,3989760000
2013-09-19,1722.34,0,1729.86,1720.2,1727.34,0,^GSPC,3740130000
2013-09-20,1709.91,0,1725.23,1708.89,1722.44,0,^GSPC,5074030000
2013-09-23,1701.84,0,1711.44,1697.1,1711.44,0,^GSPC,3126950000
2013-09-24,1697.42,0,1707.63,1694.9,1702.6,0,^GSPC,3268930000
2013-09-25,1692.77,0,1701.71,1691.88,1698.02,0,^GSPC,3148730000
2013-09-26,1698.67,0,1703.85,1693.11,1694.05,0,^GSPC,2813930000
2013-09-27,1691.75,0,1695.52,1687.11,1695.52,0,^GSPC,2951700000
2013-09-30,1681.55,0,1687.26,1674.99,1687.26,0,^GSPC,3308630000
2013-10-01,1695.0,0,1696.55,1682.07,1682.41,0,^GSPC,3238690000
2013-10-02,1693.87,0,1693.87,1680.34,1691.9,0,^GSPC,3148600000
2013-10-03,1678.66,0,1692.35,1670.36,1692.35,0,^GSPC,3279650000
2013-10-04,1690.5,0,1691.94,1677.33,1678.79,0,^GSPC,2880270000
2013-10-07,1676.12,0,1687.15,1674.7,1687.15,0,^GSPC,2678490000
2013-10-08,1655.45,0,1676.79,1655.03,1676.22,0,^GSPC,3569230000
2013-10-09,1656.4,0,1662.47,1646.47,1656.99,0,^GSPC,3577840000
2013-10-10,1692.56,0,1692.56,1660.88,1660.88,0,^GSPC,3362300000
2013-10-11,1703.2,0,1703.44,1688.52,1691.09,0,^GSPC,2944670000
2013-10-14,1710.14,0,1711.03,1692.13,1699.86,0,^GSPC,2580580000
2013-10-15,1698.06,0,1711.57,1695.93,1709.17,0,^GSPC,3327740000
2013-10-16,1721.54,0,1721.76,1700.49,1700.49,0,^GSPC,3486180000
2013-10-17,1733.15,0,1733.45,1714.12,1720.17,0,^GSPC,3453590000
2013-10-18,1744.5,0,1745.31,1735.74,1736.72,0,^GSPC,3664890000
2013-10-21,1744.66,0,1747.79,1740.67,1745.2,0,^GSPC,3052710000
2013-10-22,1754.67,0,1759.33,1746.48,1746.48,0,^GSPC,3850840000
2013-10-23,1746.38,0,1752.27,1740.5,1752.27,0,^GSPC,3713380000
2013-10-24,1752.07,0,1753.94,1745.5,1747.48,0,^GSPC,3671700000
2013-10-25,1759.77,0,1759.82,1752.45,1756.01,0,^GSPC,3175720000
2013-10-28,1762.11,0,1764.99,1757.67,1759.42,0,^GSPC,3282300000
2013-10-29,1771.95,0,1772.09,1762.93,1762.93,0,^GSPC,3358460000
2013-10-30,1763.31,0,1775.22,1757.24,1772.27,0,^GSPC,3523040000
2013-10-31,1756.54,0,1768.53,1755.72,1763.24,0,^GSPC,3826530000
2013-11-01,1761.64,0,1765.67,1752.7,1758.7,0,^GSPC,3686290000
2013-11-04,1767.93,0,1768.78,1761.56,1763.4,0,^GSPC,3194870000
2013-11-05,1762.97,0,1767.03,1755.76,1765.67,0,^GSPC,3516680000
2013-11-06,1770.49,0,1773.74,1764.4,1765.0,0,^GSPC,3322100000
2013-11-07,1747.15,0,1774.54,1746.2,1770.74,0,^GSPC,4143200000
2013-11-08,1770.61,0,1770.78,1747.63,1748.37,0,^GSPC,3837170000
2013-11-11,1771.89,0,1773.44,1767.85,1769.96,0,^GSPC,2534060000
2013-11-12,1767.69,0,1771.78,1762.29,1769.51,0,^GSPC,3221030000
2013-11-13,1782.0,0,1782.0,1760.64,1764.37,0,^GSPC,3327480000
2013-11-14,1790.62,0,1791.53,1780.22,1782.75,0,^GSPC,3139060000
2013-11-15,1798.18,0,1798.22,1790.66,1790.66,0,^GSPC,3254820000
2013-11-18,1791.53,0,1802.33,1788.0,1798.82,0,^GSPC,3168520000
2013-11-19,1787.87,0,1795.51,1784.72,1790.79,0,^GSPC,3224450000
2013-11-20,1781.37,0,1795.73,1777.23,1789.59,0,^GSPC,3109140000
2013-11-21,1795.85,0,1797.16,1783.52,1783.52,0,^GSPC,3256630000
2013-11-22,1804.76,0,1804.84,1794.7,1797.21,0,^GSPC,3055140000
2013-11-25,1802.48,0,1808.1,1800.58,1806.33,0,^GSPC,2998540000
2013-11-26,1802.75,0,1808.42,1800.77,1802.87,0,^GSPC,3427120000
2013-11-27,1807.23,0,1808.27,1802.77,1803.48,0,^GSPC,2613590000
2013-11-29,1805.81,0,1813.55,1803.98,1808.69,0,^GSPC,1598300000
2013-12-02,1800.9,0,1810.02,1798.6,1806.55,0,^GSPC,3095430000
2013-12-03,1795.15,0,1800.1,1787.85,1800.1,0,^GSPC,3475680000
2013-12-04,1792.81,0,1799.8,1779.09,1793.15,0,^GSPC,3610540000
2013-12-05,1785.03,0,1792.82,1783.38,1792.82,0,^GSPC,3336880000
2013-12-06,1805.09,0,1806.04,1788.36,1788.36,0,^GSPC,3150030000
2013-12-09,1808.37,0,1811.52,1806.21,1806.21,0,^GSPC,3129500000
2013-12-10,1802.62,0,1808.52,1801.75,1807.6,0,^GSPC,3117150000
2013-12-11,1782.22,0,1802.97,1780.09,1802.76,0,^GSPC,3472240000
2013-12-12,1775.5,0,1782.99,1772.28,1781.71,0,^GSPC,3306640000
2013-12-13,1775.32,0,1780.92,1772.45,1777.98,0,^GSPC,3061070000
2013-12-16,1786.54,0,1792.22,1777.48,1777.48,0,^GSPC,3209890000
2013-12-17,1781.0,0,1786.77,1777.05,1786.47,0,^GSPC,3270030000
2013-12-18,1810.65,0,1811.08,1767.99,1781.46,0,^GSPC,4327770000
2013-12-19,1809.6,0,1810.88,1801.35,1809.0,0,^GSPC,3497210000
2013-12-20,1818.32,0,1823.75,1810.25,1810.39,0,^GSPC,5097700000
2013-12-23,1827.99,0,1829.75,1822.92,1822.92,0,^GSPC,2851540000
2013-12-24,1833.32,0,1833.32,1828.02,1828.02,0,^GSPC,1307630000
2013-12-26,1842.02,0,1842.84,1834.96,1834.96,0,^GSPC,1982270000
2013-12-27,1841.4,0,1844.89,1839.81,1842.97,0,^GSPC,2052920000
2013-12-30,1841.07,0,1842.47,1838.77,1841.47,0,^GSPC,2293860000
2013-12-31,1848.36,0,1849.44,1842.41,1842.61,0,^GSPC,2312840000
2014-01-02,1831.98,0,1845.86,1827.74,1845.86,0,^GSPC,3080600000
2014-01-03,1831.37,0,1838.24,1829.13,1833.21,0,^GSPC,2774270000
2014-01-06,1826.77,0,1837.16,1823.73,1832.31,0,^GSPC,3294850000
2014-01-07,1837.88,0,1840.1,1828.71,1828.71,0,^GSPC,3511750000
2014-01-08,1837.49,0,1840.02,1831.4,1837.9,0,^GSPC,3652140000
2014-01-09,1838.13,0,1843.23,1830.38,1839.0,0,^GSPC,3581150000
2014-01-10,1842.37,0,1843.15,1832.43,1840.06,0,^GSPC,3335710000
2014-01-13,1819.2,0,1843.45,1815.52,1841.26,0,^GSPC,3591350000
2014-01-14,1838.88,0,1839.26,1821.36,1821.36,0,^GSPC,3353270000
2014-01-15,1848.38,0,1850.84,1840.52,1840.52,0,^GSPC,3777800000
2014-01-16,1845.89,0,1847.99,1840.3,1847.99,0,^GSPC,3491310000
2014-01-17,1838.7,0,1846.04,1835.23,1844.23,0,^GSPC,3626120000
2014-01-21,1843.8,0,1849.31,1832.38,1841.05,0,^GSPC,3782470000
2014-01-22,1844.86,0,1846.87,1840.88,1844.71,0,^GSPC,3374170000
2014-01-23,1828.46,0,1842.29,1820.06,1842.29,0,^GSPC,3972250000
2014-01-24,1790.29,0,1826.96,1790.29,1826.96,0,^GSPC,4618450000
